survey,stationName,surveyDate,surveyStartTime,surveyEndTime,dataRecorder,latDD,longDD,airTemp,weather,cloudCover,seaState,profiler,otherProfilerType,profilerMethod,bottleMethod,depthProfiler,depthFinder,secchi,exoProfileNumber,notes,tideStage,OASamples,OAFilteredSfc,OAFilteredBtm,OADupSampleName,OAblankSampleName,OANotes,allSamplesList,minDO_station,sampleName,sampleDepth,depthCode,sampleTime,waterTemp,salinity,dissolvedOxygen,pH,chlA,fDOM,turbidity,mV_pH,cablePower,otherParameters,surveySampleName,generalPlanktonNotes,revolStartA,revolStartB,revolStartD,revolEndA,revolEndB,revolEndD,totalRevA,totalRevB,totalRevD,volTowNetA,volTowNetB,bottle1Depth,bottle2Depth,bottle3Depth,bottle4Depth,bottle5Depth,bottle6Depth,bottle7Depth,bottle8Depth,bottle9Depth,bottle10Depth,compositeVolume,compositeSamplesCollected,compositeSampleOthers,volMesoNetA,ctenophorePercentA,scyphozoaPercentA,othersFamilyPercentA,mnemiopsisPercentA,pleurobrachiaPercentA,aureliaPercentA,cyaneaPercentA,chrysaoraPercentA,otherGeneraPercentA,volMesoNetB,ctenophorePercentB,scyphozoaPercentB,otherFamilyPercentB,mnemiopsisPercentB,pleurobrachiaPercentB,aureliaPercentB,cyaneaPercentB,chrysaoraPercentB,otherGeneraPercentB,gelatinousFormsNotes,senjiSamples,senjiLugolsSfc,senjiLugolsBtm,phytoplanktonNotes,SourceFile,regSampleName,ActivityCommentText,surveyPlankStation,S123_x,S123_y,editor,editorDate,ESRIsurveyStart,ESRIsurveyEnd,s123FormIssues
HYAUG25,12,8/11/2025,8:30:00,8:36:00,KAO,41.10816666666667,-73.2535,23.2,00,0,2,EXO 1313,NA,R,R,9.5,8.9,1.8,083017,NA,3,NA,NA,NA,NA,NA,NA,"12NB, 12S",3.86,12NB,8.8,NB,8:33,21.75,27.35,3.86,7.47,1.18,1.87,3.94,NA,NA,NA,HYAUG25_12NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYAUG25,12,8/11/2025,8:30:00,8:36:00,KAO,41.10816666666667,-73.2535,23.2,00,0,2,EXO 1313,NA,R,R,9.5,8.9,1.8,083017,NA,3,NA,NA,NA,NA,NA,NA,"12NB, 12S",3.86,12S,2,S,8:35,22.98,27.18,5.67,7.69,2.66,1.73,1.8,NA,NA,NA,WQAUG25_12S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYAUG25,09,8/11/2025,9:03:00,9:10:00,KAO,41.07033333333333,-73.33633333,24.1,00,0,2,EXO 1313,NA,R,R,8.8,8.2,2,090332,Altabet: 1/2,3,NA,NA,NA,NA,NA,NA,"09NB, 09B, 09S",5.37,09NB,7.5,NB,9:06,22.34,27.21,5.37,7.62,1.14,1.74,4.33,NA,NA,NA,HYAUG25_09NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WQFEB25,09,1/30/2025,8:46:00,8:54:00,KAO,41.0705,-73.33583333,NA,00,0,2,EXO 1313,NA,R,R,9.4,9.7,1.8,084616,Altabet:3/4,3,"S,B",Y,Y,NA,NA,NA,"09B, 09S, 09SS",12.01,09B,6.4,B,8:49,1.53,28.43,12.01,8.18,9.38,2.15,5.91,NA,NA,NA,WQFEB25_09B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_WQFEB25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WQJAN25,J2,1/6/2025,14:05:00,14:13:00,KAO,41.18116666666667,-72.4595,NA,07,100,2,EXO 1314,NA,R,R,24.3,20.8,1.9,140454,"Altabet: 5/6
SOG 1.3 KTS",3,NA,NA,NA,NA,NA,NA,"J2B, J2S",9.85,J2S,2,S,14:11:00,6.05,29.6,9.91,7.82,0.4,1.79,1.86,NA,NA,NA,WQJAN25_J2S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S,B",Y,Y,NA,FDS_WQJAN25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYAUG25,08,8/11/2025,9:33:00,9:40:00,KAO,41.04083333333333,-73.41766667,24.7,00,0,2,EXO 1313,NA,R,R,13.8,12.6,1.9,093329,NA,3,NA,NA,NA,NA,NA,NA,"08NB, 08S",4.14,08NB,12.9,NB,9:37,21.2,27.39,4.14,7.51,0.79,1.85,8.21,NA,NA,NA,HYAUG25_08NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYAUG25,08,8/11/2025,9:33:00,9:40:00,KAO,41.04083333333333,-73.41766667,24.7,00,0,2,EXO 1313,NA,R,R,13.8,12.6,1.9,093329,NA,3,NA,NA,NA,NA,NA,NA,"08NB, 08S",4.14,08S,2,S,9:38,22.96,27.21,6.03,7.7,2.2,1.81,1.65,NA,NA,NA,HYAUG25_08S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYAUG25,05,8/11/2025,10:07:00,10:14:00,KAO,41.009166666666665,-73.514,25.3,00,0,2,EXO 1313,NA,R,R,13.5,12.8,2,100723,NA,3,NA,NA,NA,NA,NA,NA,"05NB, 05S",4.49,05NB,12.3,NB,10:11,22.21,27.2,4.49,7.54,1.16,1.79,9.28,NA,NA,NA,HYAUG25_05NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYAUG25,05,8/11/2025,10:07:00,10:14:00,KAO,41.009166666666665,-73.514,25.3,00,0,2,EXO 1313,NA,R,R,13.5,12.8,2,100723,NA,3,NA,NA,NA,NA,NA,NA,"05NB, 05S",4.49,05S,2,S,10:12,22.65,27.15,5.13,7.62,1.33,1.86,2.28,NA,NA,NA,HYAUG25_05S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HYAUG25,C2,8/11/2025,10:24:00,10:35:00,KAO,40.98416666666667,-73.50216667,25.8,00,0,2,EXO 1313,NA,R,R,31.9,31.3,1.8,102411,Altabet: 3/4,3,NA,NA,NA,NA,NA,NA,"C2NB, C2B, C2S, C2SS",3.69,C2NB,30.7,NB,10:29,20.92,27.4,3.69,7.46,0.54,1.78,14.36,NA,NA,NA,HYAUG25_C2NB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDS_HYAUG25.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
